2023-07-04 01:27:49.271	Ввод количества элементов массива ->	15
2023-07-04 01:27:49.277	Задан массив случайных чисел ->       	[68, 27, 99, 67, 78, 20, 57, 35, 56, 0, 46, 80, 17, 30, 70]

2023-07-04 01:27:49.277	1-я итерация сортировки пузырьком ->	[27, 68, 67, 78, 20, 57, 35, 56, 0, 46, 80, 17, 30, 70, 99]
2023-07-04 01:27:49.277	2-я итерация сортировки пузырьком ->	[27, 67, 68, 20, 57, 35, 56, 0, 46, 78, 17, 30, 70, 80, 99]
2023-07-04 01:27:49.277	3-я итерация сортировки пузырьком ->	[27, 67, 20, 57, 35, 56, 0, 46, 68, 17, 30, 70, 78, 80, 99]
2023-07-04 01:27:49.277	4-я итерация сортировки пузырьком ->	[27, 20, 57, 35, 56, 0, 46, 67, 17, 30, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.277	5-я итерация сортировки пузырьком ->	[20, 27, 35, 56, 0, 46, 57, 17, 30, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.277	6-я итерация сортировки пузырьком ->	[20, 27, 35, 0, 46, 56, 17, 30, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	7-я итерация сортировки пузырьком ->	[20, 27, 0, 35, 46, 17, 30, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	8-я итерация сортировки пузырьком ->	[20, 0, 27, 35, 17, 30, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	9-я итерация сортировки пузырьком ->	[0, 20, 27, 17, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	10-я итерация сортировки пузырьком ->	[0, 20, 17, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	11-я итерация сортировки пузырьком ->	[0, 17, 20, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	12-я итерация сортировки пузырьком ->	[0, 17, 20, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	13-я итерация сортировки пузырьком ->	[0, 17, 20, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	14-я итерация сортировки пузырьком ->	[0, 17, 20, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
2023-07-04 01:27:49.278	Массив отсортирован:                  	[0, 17, 20, 27, 30, 35, 46, 56, 57, 67, 68, 70, 78, 80, 99]
